# q_mut,N(end)_1,N(end)_2,p_res
1.00e-04,0.00e+00,1.40e+01,4.00e-03
2.15e-04,0.00e+00,6.39e+00,4.00e-03
4.64e-04,0.00e+00,1.57e+01,6.00e-03
1.00e-03,0.00e+00,2.49e+01,1.80e-02
2.15e-03,0.00e+00,8.31e+01,3.00e-02
4.64e-03,0.00e+00,1.71e+02,8.60e-02
1.00e-02,0.00e+00,3.66e+02,1.56e-01
2.15e-02,0.00e+00,6.80e+02,2.68e-01
4.64e-02,0.00e+00,1.11e+03,3.52e-01
1.00e-01,0.00e+00,1.95e+03,5.48e-01
