# freq,N(end)_1,N(end)_2,p_res
5.00e-02,1.01e+01,7.66e+02,7.76e-01
1.00e-01,1.42e+01,9.44e+02,9.58e-01
1.50e-01,1.58e+01,9.72e+02,9.88e-01
2.00e-01,1.69e+01,9.81e+02,9.98e-01
2.50e-01,1.65e+01,9.83e+02,1.00e+00
3.00e-01,1.65e+01,9.83e+02,1.00e+00
3.50e-01,1.48e+01,9.85e+02,1.00e+00
4.00e-01,1.59e+01,9.84e+02,1.00e+00
4.50e-01,1.34e+01,9.87e+02,1.00e+00
5.00e-01,1.40e+01,9.86e+02,1.00e+00
