# freq,N(end)_1,N(end)_2,p_res
5.00e-02,0.00e+00,1.15e+03,2.40e-01
1.00e-01,0.00e+00,1.32e+03,2.92e-01
1.50e-01,0.00e+00,1.91e+03,3.56e-01
2.00e-01,0.00e+00,2.35e+03,4.00e-01
2.50e-01,0.00e+00,2.95e+03,4.22e-01
3.00e-01,0.00e+00,3.25e+03,4.88e-01
3.50e-01,0.00e+00,3.17e+03,5.18e-01
4.00e-01,0.00e+00,3.33e+03,5.46e-01
4.50e-01,0.00e+00,4.02e+03,5.92e-01
5.00e-01,0.00e+00,4.15e+03,5.74e-01
