# freq,N(end)_1,N(end)_2,p_res
5.00e-02,0.00e+00,3.02e+02,1.02e-01
1.00e-01,0.00e+00,7.39e+02,2.36e-01
1.50e-01,0.00e+00,1.24e+03,3.34e-01
2.00e-01,0.00e+00,1.43e+03,3.94e-01
2.50e-01,0.00e+00,1.79e+03,5.14e-01
3.00e-01,0.00e+00,2.70e+03,5.58e-01
3.50e-01,0.00e+00,2.75e+03,6.12e-01
4.00e-01,0.00e+00,3.02e+03,6.52e-01
4.50e-01,0.00e+00,3.46e+03,7.24e-01
5.00e-01,0.00e+00,4.27e+03,7.70e-01
